bin1_Probe_after_No_Sound_O1	bin1_Probe_after_No_Sound_O2	bin2_Probe_after_Multi_Soft_O1	bin2_Probe_after_Multi_Soft_O2	bin3_Probe_after_Multi_Loud_O1	bin3_Probe_after_Multi_Loud_O2	bin4_Probe_after_One_Soft_O1	bin4_Probe_after_One_Soft_O2	bin5_Probe_after_One_Loud_O1	bin5_Probe_after_One_Loud_O2		ERPset
                 3.657	                 4.083	                   4.252	                   4.331	                   4.119	                   4.197	                 4.798	                 4.551	                 3.716	                 3.644	sub-02
                -3.613	                -0.295	                  -1.455	                   0.795	                  -2.840	                  -0.265	                -2.424	                -0.104	                -2.485	                -0.293	sub-03
                -6.871	                -9.196	                  -6.226	                  -8.423	                  -8.586	                  -9.995	                -6.411	                -8.726	                -6.118	                -8.038	sub-04
                -0.085	                 0.447	                   1.031	                   1.625	                  -0.346	                   0.189	                 0.554	                 1.661	                -0.145	                 1.099	sub-05
                -2.841	                -4.860	                   0.840	                  -1.528	                  -0.607	                  -1.511	                -1.480	                -3.301	                -1.477	                -4.057	sub-06
                -1.643	                -1.778	                  -1.527	                  -1.745	                  -1.036	                  -1.669	                -1.858	                -2.108	                -1.928	                -2.467	sub-07
                -5.832	                -6.849	                  -5.917	                  -6.297	                  -6.864	                  -6.790	                -7.551	                -7.740	                -6.505	                -6.934	sub-09
                -3.406	                -3.172	                  -5.369	                  -4.941	                  -4.291	                  -3.705	                -4.563	                -3.788	                -4.988	                -3.767	sub-10
                 1.144	                -1.574	                  -0.176	                  -3.347	                  -1.658	                  -4.385	                -0.687	                -3.457	                -2.293	                -5.440	sub-11
                -1.266	                -0.782	                   0.360	                   0.771	                  -0.503	                  -0.246	                -0.293	                 0.040	                -1.400	                -0.684	sub-12
                -0.036	                 0.313	                  -0.683	                  -0.280	                  -2.846	                  -1.926	                -2.633	                -2.080	                -2.267	                -1.947	sub-13
                -3.973	                -3.469	                  -2.324	                  -1.969	                  -2.948	                  -2.689	                -1.787	                -1.390	                -1.436	                -1.176	sub-14
                -3.213	                -1.546	                  -2.190	                  -0.923	                  -1.851	                  -0.486	                -2.362	                -1.276	                -2.923	                -1.419	sub-15
                 0.041	                -2.817	                   1.743	                  -0.245	                   0.454	                  -2.082	                -1.412	                -3.517	                 0.468	                -1.395	sub-16
                 2.673	                 0.461	                   4.911	                   3.702	                   4.794	                   2.523	                 4.530	                 3.069	                 4.111	                 2.158	sub-17
                -2.446	                -0.072	                  -1.780	                   1.306	                  -2.944	                   0.022	                -2.667	                 0.919	                -2.050	                 0.476	sub-19
                -5.083	                -5.498	                  -4.502	                  -5.222	                  -4.435	                  -5.361	                -5.041	                -5.794	                -4.530	                -4.278	sub-20
                -7.225	                -3.178	                  -5.219	                  -2.734	                  -7.098	                  -4.096	                -6.190	                -3.796	                -6.856	                -4.344	sub-21
                -2.166	                -3.754	                  -3.200	                  -4.833	                  -3.427	                  -5.155	                -2.341	                -4.453	                -2.266	                -4.677	sub-22
                -0.048	                -1.177	                   0.785	                  -0.642	                   1.154	                  -0.084	                 0.781	                -0.083	                 0.884	                 0.018	sub-23
